source_file,data_key,namespace,loaded,row_count,date_range,columns
full_cscv_results.csv,full_cscv_results,research_governance,True,1246,,"S,fold_id,test_blocks,strategy_count,is_winner,is_sharpe,oos_sharpe,oos_rank,relative_oos_rank,lambda_logit,overfit_fold"
pbo_distribution.csv,pbo_distribution,research_governance,True,3,,"S,folds,PBO,median_lambda,mean_is_sharpe,mean_oos_sharpe,method"
deflated_sharpe_exact.csv,deflated_sharpe_exact,research_governance,True,60,,"strategy,sample_size,observed_sharpe,skewness,kurtosis,effective_independent_trials_used,expected_max_sharpe,deflated_sharpe,dsr_z_score,dsr_p_value,survives_5pct"
effective_trial_count.csv,effective_trial_count,research_governance,True,1,,"observed_strategy_count,effective_trials_participation_ratio,effective_trials_entropy_rank,independent_trials_estimate,method"
reality_check_results.csv,reality_check_results,research_governance,True,1,,"method,feasible,best_strategy_by_mean_excess,observed_mean_excess_return_per_period,bootstrap_samples,reality_check_p_value,note"
purged_walk_forward_results.csv,purged_walk_forward_results,research_governance,True,89,2008-12-31 to 2026-02-05,"fold_id,fold_type,window_label,start_date,end_date,observations,periods_per_year_estimate,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,average_turnover,average_exposure,average_cash,average_selected_count,alpha_vs_SPY,alpha_vs_QQQ,information_ratio_vs_SPY,information_ratio_vs_QQQ,benchmark_status,train_observations_after_purge_embargo,test_start,test_end,embargo_end,purge_start"
purged_walk_forward_folds.csv,purged_walk_forward_folds,research_governance,True,28,,"fold_id,train_start,train_end_raw,train_end_after_purge,validation_start,validation_end,embargo_start,embargo_end,test_start,test_end,purge_days,embargo_days,train_observations,validation_observations,test_observations,parameters_frozen,reoptimized_inside_fold,future_data_reused"
locked_holdout_results.csv,locked_holdout_results,research_governance,True,1,2025-06-10 to 2025-06-10,"fold_id,fold_type,window_label,start_date,end_date,observations,periods_per_year_estimate,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,average_turnover,average_exposure,average_cash,average_selected_count,alpha_vs_SPY,alpha_vs_QQQ,information_ratio_vs_SPY,information_ratio_vs_QQQ,benchmark_status,locked_holdout,evaluated_once,tuning_allowed_after_result,holdout_rule"
ic_decay_results.csv,ic_decay_results,research_governance,True,10,,"horizon,subset,dates,mean_spearman_rank_ic,median_spearman_rank_ic,positive_rank_ic_rate,mean_pearson_ic,ic_decay_input,lookahead_control"
parameter_stability_map.csv,parameter_stability_map,research_governance,True,900,,"target_vol,exposure_cap,min_exposure,vol_lookback_days,dual_trend_caps,is_current_config,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,average_exposure,average_cash,average_turnover,window_sharpe_mean,window_sharpe_std,window_cagr_mean,window_cagr_std,Sharpe_delta_vs_current,CAGR_delta_vs_current,DD_delta_vs_current"
